Team_1,Team_2,Winner,Margin,Ground,Match Date,Bat first,Pitch Advantage,Home Advantage
Sri Lanka,New Zealand,New Zealand,7 wickets,Moratuwa,"Nov 4, 1984",Sri Lanka,Balanced,Sri Lanka
Pakistan,New Zealand,Pakistan,46 runs,Peshawar,"Nov 12, 1984",Pakistan,Balanced,Pakistan
Pakistan,New Zealand,Pakistan,5 runs,Faisalabad,"Nov 23, 1984",Pakistan,Balanced,Pakistan
Pakistan,New Zealand,New Zealand,34 runs,Sialkot,"Dec 2, 1984",New Zealand,Balanced,Pakistan
India,England,England,4 wickets,Pune,"Dec 5, 1984",India,Balanced,India
Pakistan,New Zealand,Pakistan,1 wicket,Multan,"Dec 7, 1984",New Zealand,Balanced,Pakistan
India,England,England,1 run,Cuttack,"Dec 27, 1984",India,Balanced,India
Australia,West Indies,West Indies,7 wickets,Melbourne,"Jan 6, 1985",Australia,Balanced,Australia
Australia,Sri Lanka,Australia,6 wickets,Sydney,"Jan 8, 1985",Sri Lanka,Balanced,Australia
Sri Lanka,West Indies,West Indies,8 wickets,Hobart,"Jan 10, 1985",Sri Lanka,Balanced,Australia
New Zealand,Pakistan,New Zealand,110 runs,Napier,"Jan 12, 1985",New Zealand,Balanced,New Zealand
Sri Lanka,West Indies,West Indies,90 runs,Brisbane,"Jan 12, 1985",West Indies,Batting,Australia
Australia,West Indies,West Indies,5 wickets,Brisbane,"Jan 13, 1985",Australia,Batting,Australia
New Zealand,Pakistan,New Zealand,4 wickets,Hamilton,"Jan 15, 1985",Pakistan,Balanced,New Zealand
Australia,West Indies,West Indies,5 wickets,Sydney,"Jan 15, 1985",Australia,Balanced,Australia
Sri Lanka,West Indies,West Indies,65 runs,Sydney,"Jan 17, 1985",West Indies,Balanced,Australia
Australia,Sri Lanka,Sri Lanka,4 wickets,Melbourne,"Jan 19, 1985",Australia,Balanced,Australia
Australia,West Indies,West Indies,65 runs,Melbourne,"Jan 20, 1985",West Indies,Balanced,Australia
India,England,England,3 wickets,Bengaluru,"Jan 20, 1985",India,Balanced,India
Australia,Sri Lanka,Australia,3 wickets,Sydney,"Jan 23, 1985",Sri Lanka,Balanced,Australia
India,England,India,3 wickets,Nagpur,"Jan 23, 1985",England,Balanced,India
Sri Lanka,West Indies,West Indies,8 wickets,Adelaide,"Jan 26, 1985",Sri Lanka,Balanced,Australia
Australia,West Indies,West Indies,6 wickets,Adelaide,"Jan 27, 1985",Australia,Balanced,Australia
India,England,England,7 runs,Chandigarh,"Jan 27, 1985",England,Balanced,India
Australia,Sri Lanka,Australia,232 runs,Adelaide,"Jan 28, 1985",Australia,Balanced,Australia
Sri Lanka,West Indies,West Indies,82 runs,Perth,"Feb 2, 1985",West Indies,Balanced,Australia
Australia,Sri Lanka,Australia,9 wickets,Perth,"Feb 3, 1985",Sri Lanka,Balanced,Australia
New Zealand,Pakistan,New Zealand,13 runs,Christchurch,"Feb 6, 1985",New Zealand,Balanced,New Zealand
Australia,West Indies,Australia,26 runs,Sydney,"Feb 6, 1985",Australia,Balanced,Australia
Australia,West Indies,West Indies,4 wickets,Melbourne,"Feb 10, 1985",Australia,Balanced,Australia
Australia,West Indies,West Indies,7 wickets,Sydney,"Feb 12, 1985",Australia,Balanced,Australia
New Zealand,Pakistan,0,-,Auckland,"Feb 16-17, 1985",Pakistan,Batting,New Zealand
Australia,England,Australia,7 wickets,Melbourne,"Feb 17, 1985",England,Balanced,Australia
New Zealand,West Indies,0,-,Sydney,"Feb 19-21, 1985",West Indies,Balanced,Australia
India,Pakistan,India,6 wickets,Melbourne,"Feb 20, 1985",Pakistan,Balanced,Australia
New Zealand,Sri Lanka,New Zealand,51 runs,Melbourne,"Feb 23, 1985",New Zealand,Balanced,Australia
Australia,Pakistan,Pakistan,62 runs,Melbourne,"Feb 24, 1985",Pakistan,Balanced,Australia
England,India,India,86 runs,Sydney,"Feb 26, 1985",India,Balanced,Australia
Sri Lanka,West Indies,West Indies,8 wickets,Melbourne,"Feb 27, 1985",Sri Lanka,Balanced,Australia
England,Pakistan,Pakistan,67 runs,Melbourne,"Mar 2, 1985",Pakistan,Balanced,Australia
Australia,India,India,8 wickets,Melbourne,"Mar 3, 1985",Australia,Balanced,Australia
India,New Zealand,India,7 wickets,Sydney,"Mar 5, 1985",New Zealand,Balanced,Australia
Pakistan,West Indies,Pakistan,7 wickets,Melbourne,"Mar 6, 1985",West Indies,Balanced,Australia
New Zealand,West Indies,West Indies,6 wickets,Sydney,"Mar 9, 1985",New Zealand,Balanced,Australia
India,Pakistan,India,8 wickets,Melbourne,"Mar 10, 1985",Pakistan,Balanced,Australia
West Indies,New Zealand,West Indies,23 runs,St John's,"Mar 20, 1985",West Indies,Balanced,Antigua and Barbuda
India,Pakistan,India,38 runs,Sharjah,"Mar 22, 1985",India,Batting,United Arab Emirates (UAE)
Australia,England,Australia,2 wickets,Sharjah,"Mar 24, 1985",England,Batting,United Arab Emirates (UAE)
England,Pakistan,Pakistan,43 runs,Sharjah,"Mar 26, 1985",Pakistan,Batting,United Arab Emirates (UAE)
West Indies,New Zealand,West Indies,6 wickets,Port of Spain,"Mar 27, 1985",New Zealand,Batting,Trinidad and Tobago
Australia,India,India,3 wickets,Sharjah,"Mar 29, 1985",Australia,Batting,United Arab Emirates (UAE)
West Indies,New Zealand,West Indies,130 runs,Albion,"Apr 14, 1985",West Indies,Balanced,Guyana
West Indies,New Zealand,West Indies,10 wickets,Port of Spain,"Apr 17, 1985",New Zealand,Batting,Trinidad and Tobago
West Indies,New Zealand,West Indies,112 runs,Bridgetown,"Apr 23, 1985",West Indies,Balanced,Barbados
England,Australia,Australia,3 wickets,Manchester,"May 30, 1985",England,Bowling,England (United Kingdom)
England,Australia,Australia,4 wickets,Birmingham,"Jun 1, 1985",England,Balanced,England (United Kingdom)
England,Australia,England,8 wickets,Lord's,"Jun 3, 1985",Australia,Balanced,England (United Kingdom)
Sri Lanka,India,India,2 wickets,Colombo (SSC),"Aug 25, 1985",Sri Lanka,Balanced,Sri Lanka
Sri Lanka,India,Sri Lanka,14 runs,Colombo (PSS),"Sep 21, 1985",Sri Lanka,Balanced,Sri Lanka
Sri Lanka,India,0,-,Colombo (PSS),"Sep 22, 1985",India,Balanced,Sri Lanka
Pakistan,Sri Lanka,Pakistan,8 wickets,Peshawar,"Oct 13, 1985",Sri Lanka,Balanced,Pakistan
Pakistan,Sri Lanka,Pakistan,15 runs,Gujranwala,"Oct 23, 1985",Pakistan,Balanced,Pakistan
Pakistan,Sri Lanka,Pakistan,5 wickets,Lahore,"Oct 25, 1985",Sri Lanka,Balanced,Pakistan
Pakistan,Sri Lanka,Pakistan,89 runs,Hyderabad (Sind),"Nov 3, 1985",Pakistan,Balanced,Pakistan
Pakistan,West Indies,West Indies,7 wickets,Sharjah,"Nov 15, 1985",Pakistan,Batting,United Arab Emirates (UAE)
India,Pakistan,Pakistan,48 runs,Sharjah,"Nov 17, 1985",Pakistan,Batting,United Arab Emirates (UAE)
India,West Indies,West Indies,8 wickets,Sharjah,"Nov 22, 1985",India,Batting,United Arab Emirates (UAE)
Pakistan,West Indies,West Indies,8 wickets,Gujranwala,"Nov 27, 1985",Pakistan,Balanced,Pakistan
Pakistan,West Indies,Pakistan,6 wickets,Lahore,"Nov 29, 1985",West Indies,Balanced,Pakistan
Pakistan,West Indies,West Indies,40 runs,Peshawar,"Dec 2, 1985",West Indies,Balanced,Pakistan
Pakistan,West Indies,Pakistan,5 wickets,Rawalpindi,"Dec 4, 1985",West Indies,Balanced,Pakistan
Pakistan,West Indies,West Indies,8 wickets,Karachi,"Dec 6, 1985",Pakistan,Batting,Pakistan
Australia,New Zealand,0,-,Melbourne,"Jan 9, 1986",New Zealand,Balanced,Australia
India,New Zealand,India,5 wickets,Brisbane,"Jan 11, 1986",New Zealand,Batting,Australia
Australia,India,Australia,4 wickets,Brisbane,"Jan 12, 1986",India,Batting,Australia
Australia,New Zealand,Australia,4 wickets,Sydney,"Jan 14, 1986",New Zealand,Balanced,Australia
Australia,India,India,8 wickets,Melbourne,"Jan 16, 1986",Australia,Balanced,Australia
India,New Zealand,New Zealand,3 wickets,Perth,"Jan 18, 1986",India,Balanced,Australia
Australia,New Zealand,Australia,4 wickets,Perth,"Jan 19, 1986",New Zealand,Balanced,Australia
Australia,India,Australia,100 runs,Sydney,"Jan 21, 1986",Australia,Balanced,Australia
India,New Zealand,New Zealand,5 wickets,Melbourne,"Jan 23, 1986",India,Balanced,Australia
India,New Zealand,India,5 wickets,Adelaide,"Jan 25, 1986",New Zealand,Balanced,Australia
Australia,India,Australia,36 runs,Adelaide,"Jan 26, 1986",Australia,Balanced,Australia
Australia,New Zealand,New Zealand,206 runs,Adelaide,"Jan 27, 1986",New Zealand,Balanced,Australia
Australia,New Zealand,Australia,99 runs,Sydney,"Jan 29, 1986",Australia,Balanced,Australia
Australia,India,India,6 wickets,Melbourne,"Jan 31, 1986",Australia,Balanced,Australia
India,New Zealand,India,22 runs,Launceston,"Feb 2, 1986",India,Balanced,Australia
Australia,India,Australia,11 runs,Sydney,"Feb 5, 1986",Australia,Balanced,Australia
Australia,India,Australia,7 wickets,Melbourne,"Feb 9, 1986",India,Balanced,Australia
West Indies,England,West Indies,6 wickets,Kingston,"Feb 18, 1986",England,Batting,Jamaica
Sri Lanka,Pakistan,Pakistan,8 wickets,Kandy,"Mar 2, 1986",Sri Lanka,Balanced,Sri Lanka
West Indies,England,England,5 wickets,Port of Spain,"Mar 4, 1986",West Indies,Batting,Trinidad and Tobago
Sri Lanka,Pakistan,0,-,Moratuwa,"Mar 8, 1986",Pakistan,Balanced,Sri Lanka
Sri Lanka,Pakistan,Pakistan,8 wickets,Colombo (SSC),"Mar 11, 1986",Sri Lanka,Balanced,Sri Lanka
New Zealand,Australia,New Zealand,30 runs,Dunedin,"Mar 19, 1986",New Zealand,Balanced,New Zealand
West Indies,England,West Indies,135 runs,Bridgetown,"Mar 19, 1986",West Indies,Balanced,Barbados
New Zealand,Australia,New Zealand,53 runs,Christchurch,"Mar 22, 1986",New Zealand,Balanced,New Zealand
New Zealand,Australia,Australia,3 wickets,Wellington,"Mar 26, 1986",New Zealand,Balanced,New Zealand
New Zealand,Australia,Australia,44 runs,Auckland,"Mar 29, 1986",Australia,Batting,New Zealand
Sri Lanka,Pakistan,Pakistan,81 runs,Colombo (PSS),"Mar 30, 1986",Pakistan,Balanced,Sri Lanka
Bangladesh,Pakistan,Pakistan,7 wickets,Moratuwa,"Mar 31, 1986",Bangladesh,Balanced,Sri Lanka
West Indies,England,West Indies,8 wickets,Port of Spain,"Mar 31, 1986",England,Batting,Trinidad and Tobago
Sri Lanka,Bangladesh,Sri Lanka,7 wickets,Kandy,"Apr 2, 1986",Bangladesh,Balanced,Sri Lanka
Sri Lanka,New Zealand,New Zealand,6 wickets,Colombo (RPS),"Apr 5, 1986",Sri Lanka,Batting,Sri Lanka
Sri Lanka,Pakistan,Sri Lanka,5 wickets,Colombo (SSC),"Apr 6, 1986",Pakistan,Balanced,Sri Lanka
New Zealand,Pakistan,Pakistan,4 wickets,Colombo (SSC),"Apr 7, 1986",New Zealand,Balanced,Sri Lanka
India,New Zealand,India,3 wickets,Sharjah,"Apr 10, 1986",New Zealand,Batting,United Arab Emirates (UAE)
Australia,Pakistan,Pakistan,8 wickets,Sharjah,"Apr 11, 1986",Australia,Batting,United Arab Emirates (UAE)
India,Sri Lanka,India,3 wickets,Sharjah,"Apr 13, 1986",Sri Lanka,Batting,United Arab Emirates (UAE)
New Zealand,Pakistan,Pakistan,10 wickets,Sharjah,"Apr 15, 1986",New Zealand,Batting,United Arab Emirates (UAE)
India,Pakistan,Pakistan,1 wicket,Sharjah,"Apr 18, 1986",India,Batting,United Arab Emirates (UAE)
England,India,India,9 wickets,The Oval,"May 24, 1986",England,Balanced,England (United Kingdom)
England,India,England,5 wickets,Manchester,"May 26, 1986",India,Bowling,England (United Kingdom)
England,New Zealand,New Zealand,47 runs,Leeds,"Jul 16, 1986",New Zealand,Balanced,England (United Kingdom)
England,New Zealand,England,6 wickets,Manchester,"Jul 18, 1986",New Zealand,Bowling,England (United Kingdom)
India,Australia,India,7 wickets,Jaipur,"Sep 7, 1986",Australia,Balanced,India
India,Australia,Australia,3 wickets,Srinagar,"Sep 9, 1986",India,Balanced,India
India,Australia,0,-,Hyderabad (Deccan),"Sep 24, 1986",Australia,Balanced,India
India,Australia,India,3 wickets,Delhi,"Oct 2, 1986",Australia,Batting,India
India,Australia,India,52 runs,Ahmedabad,"Oct 5, 1986",India,Balanced,India
India,Australia,Australia,7 wickets,Rajkot,"Oct 7, 1986",India,Balanced,India
Pakistan,West Indies,West Indies,4 wickets,Peshawar,"Oct 17, 1986",Pakistan,Balanced,Pakistan
Pakistan,West Indies,West Indies,17 runs,Gujranwala,"Nov 4, 1986",West Indies,Balanced,Pakistan
Pakistan,West Indies,West Indies,4 wickets,Sialkot,"Nov 14, 1986",Pakistan,Balanced,Pakistan
Pakistan,West Indies,West Indies,89 runs,Multan,"Nov 17, 1986",West Indies,Balanced,Pakistan
Pakistan,West Indies,Pakistan,11 runs,Hyderabad (Sind),"Nov 18, 1986",Pakistan,Balanced,Pakistan
India,Sri Lanka,India,7 wickets,Sharjah,"Nov 27, 1986",Sri Lanka,Batting,United Arab Emirates (UAE)
Pakistan,West Indies,West Indies,9 wickets,Sharjah,"Nov 28, 1986",Pakistan,Batting,United Arab Emirates (UAE)
India,West Indies,West Indies,33 runs,Sharjah,"Nov 30, 1986",West Indies,Batting,United Arab Emirates (UAE)
Pakistan,Sri Lanka,Pakistan,4 wickets,Sharjah,"Dec 2, 1986",Sri Lanka,Batting,United Arab Emirates (UAE)
Sri Lanka,West Indies,West Indies,193 runs,Sharjah,"Dec 3, 1986",West Indies,Batting,United Arab Emirates (UAE)
India,Pakistan,Pakistan,3 wickets,Sharjah,"Dec 5, 1986",India,Batting,United Arab Emirates (UAE)
India,Sri Lanka,Sri Lanka,117 runs,Kanpur,"Dec 24, 1986",Sri Lanka,Balanced,India
Pakistan,West Indies,Pakistan,34 runs,Perth,"Dec 30, 1986",Pakistan,Balanced,Australia
Australia,England,England,37 runs,Perth,"Jan 1, 1987",England,Balanced,Australia
Australia,Pakistan,Pakistan,1 wicket,Perth,"Jan 2, 1987",Australia,Balanced,Australia
England,West Indies,England,19 runs,Perth,"Jan 3, 1987",England,Balanced,Australia
Australia,West Indies,West Indies,164 runs,Perth,"Jan 4, 1987",West Indies,Balanced,Australia
England,Pakistan,England,3 wickets,Perth,"Jan 5, 1987",Pakistan,Balanced,Australia
England,Pakistan,England,5 wickets,Perth,"Jan 7, 1987",Pakistan,Balanced,Australia
India,Sri Lanka,India,8 wickets,Guwahati,"Jan 11, 1987",Sri Lanka,Bowling,India
India,Sri Lanka,India,6 wickets,Delhi,"Jan 13, 1987",Sri Lanka,Batting,India
India,Sri Lanka,India,94 runs,Vadodara,"Jan 15, 1987",India,Balanced,India
England,West Indies,England,6 wickets,Brisbane,"Jan 17, 1987",West Indies,Batting,Australia
India,Sri Lanka,India,10 runs,Wankhede,"Jan 17, 1987",India,Balanced,India
Australia,England,Australia,11 runs,Brisbane,"Jan 18, 1987",Australia,Batting,Australia
Australia,West Indies,West Indies,7 wickets,Melbourne,"Jan 20, 1987",Australia,Balanced,Australia
Australia,England,England,3 wickets,Sydney,"Jan 22, 1987",Australia,Balanced,Australia
England,West Indies,England,89 runs,Adelaide,"Jan 24, 1987",England,Balanced,Australia
Australia,West Indies,West Indies,16 runs,Adelaide,"Jan 25, 1987",West Indies,Balanced,Australia
Australia,England,Australia,33 runs,Adelaide,"Jan 26, 1987",Australia,Balanced,Australia
India,Pakistan,Pakistan,3 wickets,Indore,"Jan 27, 1987",India,Balanced,India
Australia,West Indies,Australia,36 runs,Sydney,"Jan 28, 1987",Australia,Balanced,Australia
England,West Indies,West Indies,6 wickets,Melbourne,"Jan 30, 1987",England,Balanced,Australia
Australia,England,Australia,109 runs,Melbourne,"Feb 1, 1987",Australia,Balanced,Australia
England,West Indies,England,29 runs,Devonport,"Feb 3, 1987",England,Balanced,Australia
Australia,West Indies,Australia,2 wickets,Sydney,"Feb 6, 1987",West Indies,Balanced,Australia
Australia,England,England,6 wickets,Melbourne,"Feb 8, 1987",Australia,Balanced,Australia
Australia,England,England,8 runs,Sydney,"Feb 11, 1987",England,Balanced,Australia
India,Pakistan,Pakistan,2 wickets,Eden Gardens,"Feb 18, 1987",India,Balanced,India
New Zealand,West Indies,West Indies,95 runs,Dunedin,"Mar 18, 1987",West Indies,Balanced,New Zealand
India,Pakistan,India,-,Hyderabad (Deccan),"Mar 20, 1987",Pakistan,Balanced,India
New Zealand,West Indies,West Indies,6 wickets,Auckland,"Mar 21, 1987",New Zealand,Batting,New Zealand
India,Pakistan,Pakistan,6 wickets,Pune,"Mar 22, 1987",India,Balanced,India
India,Pakistan,Pakistan,41 runs,Nagpur,"Mar 24, 1987",Pakistan,Balanced,India
India,Pakistan,Pakistan,5 wickets,Jamshedpur,"Mar 26, 1987",India,Balanced,India
New Zealand,West Indies,West Indies,10 wickets,Christchurch,"Mar 28, 1987",New Zealand,Balanced,New Zealand
England,India,India,3 wickets,Sharjah,"Apr 2, 1987",England,Batting,United Arab Emirates (UAE)
Australia,Pakistan,Pakistan,6 wickets,Sharjah,"Apr 3, 1987",Australia,Batting,United Arab Emirates (UAE)
Australia,India,India,7 wickets,Sharjah,"Apr 5, 1987",Australia,Batting,United Arab Emirates (UAE)
England,Pakistan,England,5 wickets,Sharjah,"Apr 7, 1987",Pakistan,Batting,United Arab Emirates (UAE)
Australia,England,England,11 runs,Sharjah,"Apr 9, 1987",England,Batting,United Arab Emirates (UAE)
India,Pakistan,Pakistan,8 wickets,Sharjah,"Apr 10, 1987",India,Batting,United Arab Emirates (UAE)
England,Pakistan,England,7 wickets,The Oval,"May 21, 1987",Pakistan,Balanced,England (United Kingdom)
England,Pakistan,Pakistan,6 wickets,Nottingham,"May 23, 1987",England,Balanced,England (United Kingdom)
England,Pakistan,England,1 wicket,Birmingham,"May 25, 1987",Pakistan,Balanced,England (United Kingdom)
Pakistan,Sri Lanka,Pakistan,15 runs,Hyderabad (Sind),"Oct 8, 1987",Pakistan,Balanced,Pakistan
India,Australia,Australia,1 run,Chennai,"Oct 9, 1987",India,Bowling,India
England,West Indies,England,2 wickets,Gujranwala,"Oct 9, 1987",West Indies,Balanced,Pakistan
New Zealand,Zimbabwe,New Zealand,3 runs,Hyderabad (Deccan),"Oct 10, 1987",New Zealand,Balanced,India
Pakistan,England,Pakistan,18 runs,Rawalpindi,"Oct 12-13, 1987",Pakistan,Balanced,Pakistan
Australia,Zimbabwe,Australia,96 runs,Chennai,"Oct 13, 1987",Australia,Bowling,India
Sri Lanka,West Indies,West Indies,191 runs,Karachi,"Oct 13, 1987",West Indies,Batting,Pakistan
India,New Zealand,India,16 runs,Bengaluru,"Oct 14, 1987",India,Balanced,India
Pakistan,West Indies,Pakistan,1 wicket,Lahore,"Oct 16, 1987",West Indies,Balanced,Pakistan
India,Zimbabwe,India,8 wickets,Wankhede,"Oct 17, 1987",Zimbabwe,Balanced,India
England,Sri Lanka,England,108 runs,Peshawar,"Oct 17, 1987",England,Balanced,Pakistan
Australia,New Zealand,Australia,3 runs,Indore,"Oct 18-19, 1987",Australia,Balanced,India
Pakistan,England,Pakistan,7 wickets,Karachi,"Oct 20, 1987",England,Batting,Pakistan
Sri Lanka,West Indies,West Indies,25 runs,Kanpur,"Oct 21, 1987",West Indies,Balanced,India
India,Australia,India,56 runs,Delhi,"Oct 22, 1987",India,Batting,India
New Zealand,Zimbabwe,New Zealand,4 wickets,Eden Gardens,"Oct 23, 1987",Zimbabwe,Balanced,India
Pakistan,Sri Lanka,Pakistan,113 runs,Faisalabad,"Oct 25, 1987",Pakistan,Balanced,Pakistan
England,West Indies,England,34 runs,Jaipur,"Oct 26, 1987",England,Balanced,India
India,Zimbabwe,India,7 wickets,Ahmedabad,"Oct 26, 1987",Zimbabwe,Balanced,India
Australia,New Zealand,Australia,17 runs,Chandigarh,"Oct 27, 1987",Australia,Balanced,India
Australia,Zimbabwe,Australia,70 runs,Cuttack,"Oct 30, 1987",Australia,Balanced,India
England,Sri Lanka,England,8 wickets,Pune,"Oct 30, 1987",Sri Lanka,Balanced,India
Pakistan,West Indies,West Indies,28 runs,Karachi,"Oct 30, 1987",West Indies,Batting,Pakistan
India,New Zealand,India,9 wickets,Nagpur,"Oct 31, 1987",New Zealand,Balanced,India
Pakistan,Australia,Australia,18 runs,Lahore,"Nov 4, 1987",Australia,Balanced,Pakistan
India,England,England,35 runs,Wankhede,"Nov 5, 1987",England,Balanced,India
