Team 1,Team 2,Winner,Margin,Ground,Match Date,match_id,Bat first,Pitch Advantage ,Home Advantage
Belgium,Malta,Belgium,111 runs,Gent,"Jun 11, 2022",T20I # 1558,Belgium,Balanced,Belgium
Luxembourg,Switzerland,Luxembourg,18 runs,Walferdange,"Jun 11, 2022",T20I # 1559,Luxembourg,Balanced,Luxembourg
Austria,Sweden,Austria,1 runs,Krefeld,"Jun 11, 2022",T20I # 1560,Austria,Balanced,Germany
Zimbabwe,Afghanistan,Afghanistan,6 wickets,Harare,"Jun 11, 2022",T20I # 1561,Zimbabwe,Balanced,Zimbabwe
Belgium,Malta,Belgium,84 runs,Gent,"Jun 11, 2022",T20I # 1562,Belgium,Balanced,Belgium
Luxembourg,Switzerland,Switzerland,78 runs,Walferdange,"Jun 11, 2022",T20I # 1563,Switzerland,Balanced,Luxembourg
Sri Lanka,Australia,Sri Lanka,4 wickets,Pallekele,"Jun 11, 2022",T20I # 1564,Australia,Batting,Sri Lanka
Germany,Sweden,Germany,29 runs,Krefeld,"Jun 11, 2022",T20I # 1565,Germany,Balanced,Germany
Belgium,Malta,Belgium,122 runs,Waterloo,"Jun 12, 2022",T20I # 1566,Belgium,Balanced,Sierra Leone
Germany,Austria,Germany,3 wickets,Krefeld,"Jun 12, 2022",T20I # 1567,Austria,Balanced,Germany
Zimbabwe,Afghanistan,Afghanistan,21 runs,Harare,"Jun 12, 2022",T20I # 1568,Afghanistan,Balanced,Zimbabwe
India,South Africa,South Africa,4 wickets,Cuttack,"Jun 12, 2022",T20I # 1569,India,Balanced,India
Zimbabwe,Afghanistan,Afghanistan,35 runs,Harare,"Jun 14, 2022",T20I # 1570,Afghanistan,Balanced,Zimbabwe
India,South Africa,India,48 runs,Visakhapatnam,"Jun 14, 2022",T20I # 1571,India,Balanced,India
India,South Africa,India,82 runs,Rajkot,"Jun 17, 2022",T20I # 1572,India,Balanced,India
Finland,Estonia,Finland,23 runs,Kerava,"Jun 19, 2022",T20I # 1573,Finland,Balanced,Finland
Finland,Estonia,Finland,11 runs,Kerava,"Jun 19, 2022",T20I # 1574,Finland,Balanced,Finland
India,South Africa,0,-,Bengaluru,"Jun 19, 2022",T20I # 1575,India,Balanced,India
Bulgaria,Serbia,Bulgaria,6 wickets,Sofia,"Jun 24, 2022",T20I # 1576,Serbia,Balanced,Bulgaria
Bulgaria,Serbia,Bulgaria,5 wickets,Sofia,"Jun 25, 2022",T20I # 1577,Serbia,Balanced,Bulgaria
Bulgaria,Serbia,Bulgaria,40 runs,Sofia,"Jun 25, 2022",T20I # 1578,Bulgaria,Balanced,Bulgaria
Bulgaria,Serbia,Bulgaria,6 wickets,Sofia,"Jun 26, 2022",T20I # 1579,Serbia,Balanced,Bulgaria
Ireland,India,India,7 wickets,Dublin (Malahide),"Jun 26, 2022",T20I # 1580,Ireland,Balanced,Ireland
Belgium,Gibraltar,Belgium,7 wickets,Gent,"Jun 28, 2022",T20I # 1581,Gibraltar,Balanced,Belgium
Malta,Spain,Spain,6 wickets,Waterloo,"Jun 28, 2022",T20I # 1582,Malta,Balanced,Sierra Leone
Singapore,Malaysia,Singapore,4 wickets,Singapore,"Jun 28, 2022",T20I # 1583,Malaysia,Balanced,Singapore
Denmark,Hungary,Denmark,88 runs,Gent,"Jun 28, 2022",T20I # 1584,Denmark,Balanced,Belgium
Israel,Portugal,Portugal,47 runs,Waterloo,"Jun 28, 2022",T20I # 1585,Portugal,Balanced,Sierra Leone
Ireland,India,India,4 runs,Dublin (Malahide),"Jun 28, 2022",T20I # 1586,India,Balanced,Ireland
Denmark,Gibraltar,Denmark,132 runs,Waterloo,"Jun 29, 2022",T20I # 1587,Denmark,Balanced,Sierra Leone
Malta,Portugal,Portugal,11 runs,Gent,"Jun 29, 2022",T20I # 1588,Portugal,Balanced,Belgium
Singapore,Malaysia,Malaysia,23 runs,Singapore,"Jun 29, 2022",T20I # 1589,Malaysia,Balanced,Singapore
Belgium,Hungary,Belgium,2 wickets,Waterloo,"Jun 29, 2022",T20I # 1590,Hungary,Balanced,Sierra Leone
Israel,Spain,Spain,7 wickets,Gent,"Jun 29, 2022",T20I # 1591,Israel,Balanced,Belgium
Singapore,Malaysia,Malaysia,5 wickets,Singapore,"Jun 30, 2022",T20I # 1592,Singapore,Balanced,Singapore
Gibraltar,Hungary,Gibraltar,4 wickets,Waterloo,"Jul 1, 2022",T20I # 1593,Hungary,Balanced,Sierra Leone
Portugal,Spain,Spain,8 wickets,Gent,"Jul 1, 2022",T20I # 1594,Portugal,Balanced,Belgium
Belgium,Denmark,Belgium,12 runs,Waterloo,"Jul 1, 2022",T20I # 1595,Belgium,Balanced,Sierra Leone
Israel,Malta,Malta,16 runs,Gent,"Jul 1, 2022",T20I # 1596,Malta,Balanced,Belgium
Malaysia,Bhutan,Malaysia,155 runs,Bangi,"Jul 2, 2022",T20I # 1597,Malaysia,Balanced,Malaysia
Belgium,Portugal,Portugal,8 wickets,Waterloo,"Jul 2, 2022",T20I # 1598,Belgium,Balanced,Sierra Leone
Singapore,P.N.G.,Singapore,18 runs,Singapore,"Jul 2, 2022",T20I # 1599,Singapore,Balanced,Singapore
Denmark,Spain,Denmark,41 runs,Waterloo,"Jul 2, 2022",T20I # 1600,Denmark,Balanced,Sierra Leone
West Indies,Bangladesh,0,-,Roseau,"Jul 2, 2022",T20I # 1601,West Indies,Balanced,Dominica
Maldives,Thailand,Maldives,7 wickets,Bangi,"Jul 3, 2022",T20I # 1602,Thailand,Balanced,Malaysia
Malaysia,Bhutan,Malaysia,39 runs,Bangi,"Jul 3, 2022",T20I # 1603,Malaysia,Balanced,Malaysia
Hungary,Israel,Israel,12 runs,Waterloo,"Jul 3, 2022",T20I # 1604,Israel,Balanced,Sierra Leone
Singapore,P.N.G.,P.N.G.,3 wickets,Singapore,"Jul 3, 2022",T20I # 1605,Singapore,Balanced,Singapore
Gibraltar,Malta,Malta,7 wickets,Waterloo,"Jul 3, 2022",T20I # 1606,Gibraltar,Balanced,Sierra Leone
West Indies,Bangladesh,West Indies,35 runs,Roseau,"Jul 3, 2022",T20I # 1607,West Indies,Balanced,Dominica
Malaysia,Thailand,Malaysia,9 wickets,Bangi,"Jul 4, 2022",T20I # 1608,Thailand,Balanced,Malaysia
Bhutan,Maldives,Bhutan,6 runs,Bangi,"Jul 4, 2022",T20I # 1609,Bhutan,Balanced,Malaysia
Belgium,Spain,Belgium,5 wickets,Waterloo,"Jul 4, 2022",T20I # 1610,Spain,Balanced,Sierra Leone
Denmark,Portugal,Denmark,9 wickets,Waterloo,"Jul 4, 2022",T20I # 1611,Portugal,Balanced,Sierra Leone
Bhutan,Thailand,Bhutan,6 wickets,Bangi,"Jul 6, 2022",T20I # 1612,Thailand,Balanced,Malaysia
Malaysia,Maldives,Malaysia,8 wickets,Bangi,"Jul 6, 2022",T20I # 1613,Maldives,Balanced,Malaysia
Bhutan,Maldives,Bhutan,2 runs,Bangi,"Jul 7, 2022",T20I # 1614,Bhutan,Balanced,Malaysia
Malaysia,Thailand,Malaysia,9 wickets,Bangi,"Jul 7, 2022",T20I # 1615,Thailand,Balanced,Malaysia
England,India,India,50 runs,Southampton,"Jul 7, 2022",T20I # 1616,India,Balanced,England (United Kingdom)
West Indies,Bangladesh,West Indies,5 wickets,Providence,"Jul 7, 2022",T20I # 1617,Bangladesh,Batting,Guyana
Maldives,Thailand,Maldives,41 runs,Bangi,"Jul 8, 2022",T20I # 1618,Maldives,Balanced,Malaysia
Austria,Luxembourg,Austria,5 wickets,Vinor,"Jul 8, 2022",T20I # 1619,Luxembourg,Balanced,Czech Republic
Czech Rep.,Luxembourg,Czech Rep.,5 wickets,Vinor,"Jul 8, 2022",T20I # 1620,Luxembourg,Balanced,Czech Republic
Serbia,Bulgaria,Serbia,7 wickets,Belgrade,"Jul 8, 2022",T20I # 1621,Bulgaria,Balanced,Serbia
Malaysia,Maldives,Malaysia,94 runs,Bangi,"Jul 9, 2022",T20I # 1622,Malaysia,Balanced,Malaysia
Bhutan,Thailand,Bhutan,28 runs,Bangi,"Jul 9, 2022",T20I # 1623,Bhutan,Balanced,Malaysia
Czech Rep.,Austria,Austria,4 wickets,Vinor,"Jul 9, 2022",T20I # 1624,Czech Rep.,Balanced,Czech Republic
Serbia,Bulgaria,Serbia,8 wickets,Belgrade,"Jul 9, 2022",T20I # 1625,Bulgaria,Balanced,Serbia
Austria,Luxembourg,Austria,35 runs,Vinor,"Jul 9, 2022",T20I # 1626,Austria,Balanced,Czech Republic
Serbia,Bulgaria,Bulgaria,95 runs,Belgrade,"Jul 9, 2022",T20I # 1627,Bulgaria,Balanced,Serbia
England,India,India,49 runs,Birmingham,"Jul 9, 2022",T20I # 1628,India,Balanced,England (United Kingdom)
Czech Rep.,Luxembourg,Czech Rep.,36 runs,Vinor,"Jul 10, 2022",T20I # 1629,Czech Rep.,Balanced,Czech Republic
Czech Rep.,Austria,Czech Rep.,6 wickets,Vinor,"Jul 10, 2022",T20I # 1630,Austria,Balanced,Czech Republic
England,India,England,17 runs,Nottingham,"Jul 10, 2022",T20I # 1631,England,Balanced,England (United Kingdom)
Malaysia,Bhutan,Malaysia,9 wickets,Bangi,"Jul 11, 2022",T20I # 1632,Bhutan,Balanced,Malaysia
Jersey,U.S.A.,U.S.A.,8 wickets,Bulawayo,"Jul 11, 2022",T20I # 1633,Jersey,Batting,Zimbabwe
Zimbabwe,Singapore,Zimbabwe,111 runs,Bulawayo,"Jul 11, 2022",T20I # 1634,Zimbabwe,Batting,Zimbabwe
Hong Kong,Uganda,Uganda,2 wickets,Bulawayo,"Jul 11, 2022",T20I # 1635,Hong Kong,Batting,Zimbabwe
Netherlands,P.N.G.,Netherlands,52 runs,Bulawayo,"Jul 11, 2022",T20I # 1636,Netherlands,Batting,Zimbabwe
Singapore,U.S.A.,U.S.A.,132 runs,Bulawayo,"Jul 12, 2022",T20I # 1637,U.S.A.,Batting,Zimbabwe
Zimbabwe,Jersey,Zimbabwe,23 runs,Bulawayo,"Jul 12, 2022",T20I # 1638,Zimbabwe,Batting,Zimbabwe
Cyprus,Isle of Man,Isle of Man,8 wickets,Kerava,"Jul 12, 2022",T20I # 1639,Cyprus,Balanced,Finland
Greece,Italy,Italy,9 wickets,Vantaa,"Jul 12, 2022",T20I # 1640,Greece,Balanced,Finland
Hong Kong,Netherlands,Netherlands,7 wickets,Bulawayo,"Jul 12, 2022",T20I # 1641,Hong Kong,Batting,Zimbabwe
P.N.G.,Uganda,P.N.G.,8 wickets,Bulawayo,"Jul 12, 2022",T20I # 1642,Uganda,Batting,Zimbabwe
Finland,Sweden,Finland,12 runs,Vantaa,"Jul 12, 2022",T20I # 1643,Finland,Balanced,Finland
Romania,Turkey,Romania,51 runs,Kerava,"Jul 12, 2022",T20I # 1644,Romania,Balanced,Finland
Croatia,Sweden,Sweden,8 wickets,Kerava,"Jul 13, 2022",T20I # 1645,Croatia,Balanced,Finland
Cyprus,Romania,Cyprus,20 runs,Vantaa,"Jul 13, 2022",T20I # 1646,Cyprus,Balanced,Finland
Finland,Italy,Italy,5 wickets,Kerava,"Jul 13, 2022",T20I # 1647,Finland,Balanced,Finland
Isle of Man,Serbia,Isle of Man,68 runs,Vantaa,"Jul 13, 2022",T20I # 1648,Isle of Man,Balanced,Finland
Hong Kong,P.N.G.,Hong Kong,2 wickets,Bulawayo,"Jul 14, 2022",T20I # 1649,P.N.G.,Batting,Zimbabwe
Netherlands,Uganda,Netherlands,97 runs,Bulawayo,"Jul 14, 2022",T20I # 1650,Netherlands,Batting,Zimbabwe
Jersey,Singapore,Jersey,13 runs,Bulawayo,"Jul 14, 2022",T20I # 1651,Jersey,Batting,Zimbabwe
Zimbabwe,U.S.A.,Zimbabwe,46 runs,Bulawayo,"Jul 14, 2022",T20I # 1652,Zimbabwe,Batting,Zimbabwe
Hong Kong,Singapore,Hong Kong,7 wickets,Bulawayo,"Jul 15, 2022",T20I # 1653,Singapore,Batting,Zimbabwe
Jersey,Uganda,Uganda,5 runs,Bulawayo,"Jul 15, 2022",T20I # 1654,Uganda,Batting,Zimbabwe
Italy,Sweden,Italy,91 runs,Vantaa,"Jul 15, 2022",T20I # 1655,Italy,Balanced,Finland
Serbia,Turkey,Serbia,7 wickets,Kerava,"Jul 15, 2022",T20I # 1656,Turkey,Balanced,Finland
Netherlands,U.S.A.,Netherlands,7 wickets,Bulawayo,"Jul 15, 2022",T20I # 1657,U.S.A.,Batting,Zimbabwe
Zimbabwe,P.N.G.,Zimbabwe,27 runs,Bulawayo,"Jul 15, 2022",T20I # 1658,Zimbabwe,Batting,Zimbabwe
Croatia,Greece,Croatia,3 runs,Vantaa,"Jul 15, 2022",T20I # 1659,Croatia,Balanced,Finland
Isle of Man,Romania,Isle of Man,8 wickets,Kerava,"Jul 15, 2022",T20I # 1660,Romania,Balanced,Finland
Finland,Greece,Finland,37 runs,Kerava,"Jul 16, 2022",T20I # 1661,Finland,Balanced,Finland
Romania,Serbia,Romania,31 runs,Vantaa,"Jul 16, 2022",T20I # 1662,Romania,Balanced,Finland
Croatia,Italy,Italy,166 runs,Kerava,"Jul 16, 2022",T20I # 1663,Italy,Balanced,Finland
Cyprus,Turkey,Cyprus,135 runs,Vantaa,"Jul 16, 2022",T20I # 1664,Cyprus,Balanced,Finland
Hong Kong,Uganda,Uganda,4 runs,Bulawayo,"Jul 17, 2022",T20I # 1665,Uganda,Batting,Zimbabwe
Jersey,Singapore,Jersey,6 wickets,Bulawayo,"Jul 17, 2022",T20I # 1666,Singapore,Batting,Zimbabwe
P.N.G.,U.S.A.,P.N.G.,5 runs,Bulawayo,"Jul 17, 2022",T20I # 1667,P.N.G.,Batting,Zimbabwe
Zimbabwe,Netherlands,Zimbabwe,37 runs,Bulawayo,"Jul 17, 2022",T20I # 1668,Zimbabwe,Batting,Zimbabwe
Cyprus,Serbia,Serbia,4 wickets,Kerava,"Jul 18, 2022",T20I # 1669,Cyprus,Balanced,Finland
Greece,Sweden,Sweden,107 runs,Vantaa,"Jul 18, 2022",T20I # 1670,Sweden,Balanced,Finland
Finland,Croatia,Finland,5 wickets,Vantaa,"Jul 18, 2022",T20I # 1671,Croatia,Balanced,Finland
Isle of Man,Turkey,Isle of Man,74 runs,Kerava,"Jul 18, 2022",T20I # 1672,Isle of Man,Balanced,Finland
Ireland,New Zealand,New Zealand,31 runs,Belfast,"Jul 18, 2022",T20I # 1673,New Zealand,Balanced,Northern Ireland (United Kingdom)
Croatia,Serbia,Croatia,3 wickets,Vantaa,"Jul 19, 2022",T20I # 1674,Serbia,Balanced,Finland
Finland,Cyprus,Finland,11 runs,Kerava,"Jul 19, 2022",T20I # 1675,Finland,Balanced,Finland
Isle of Man,Italy,Italy,7 wickets,Kerava,"Jul 19, 2022",T20I # 1676,Isle of Man,Balanced,Finland
Romania,Sweden,Sweden,8 wickets,Vantaa,"Jul 19, 2022",T20I # 1677,Romania,Balanced,Finland
Ireland,New Zealand,New Zealand,88 runs,Belfast,"Jul 20, 2022",T20I # 1678,New Zealand,Balanced,Northern Ireland (United Kingdom)
Ireland,New Zealand,New Zealand,6 wickets,Belfast,"Jul 22, 2022",T20I # 1679,Ireland,Balanced,Northern Ireland (United Kingdom)
Austria,Luxembourg,Austria,36 runs,Vantaa,"Jul 24, 2022",T20I # 1680,Austria,Balanced,Finland
Estonia,Norway,Norway,10 wickets,Kerava,"Jul 24, 2022",T20I # 1681,Estonia,Balanced,Finland
Bulgaria,Guernsey,Guernsey,52 runs,Vantaa,"Jul 24, 2022",T20I # 1682,Guernsey,Balanced,Finland
Czech Rep.,France,France,51 runs,Kerava,"Jul 24, 2022",T20I # 1683,France,Balanced,Finland
Austria,Slovenia,Austria,141 runs,Kerava,"Jul 25, 2022",T20I # 1684,Austria,Balanced,Finland
Czech Rep.,Norway,Norway,120 runs,Vantaa,"Jul 25, 2022",T20I # 1685,Norway,Balanced,Finland
France,Switzerland,Switzerland,1 wickets,Vantaa,"Jul 25, 2022",T20I # 1686,France,Balanced,Finland
Guernsey,Luxembourg,Guernsey,17 runs,Kerava,"Jul 25, 2022",T20I # 1687,Guernsey,Balanced,Finland
Austria,Guernsey,Austria,2 wickets,Vantaa,"Jul 27, 2022",T20I # 1688,Guernsey,Balanced,Finland
Estonia,Switzerland,Switzerland,31 runs,Kerava,"Jul 27, 2022",T20I # 1689,Switzerland,Balanced,Finland
Bulgaria,Slovenia,Bulgaria,3 wickets,Vantaa,"Jul 27, 2022",T20I # 1690,Slovenia,Balanced,Finland
France,Norway,France,11 runs,Kerava,"Jul 27, 2022",T20I # 1691,France,Balanced,Finland
Scotland,New Zealand,New Zealand,68 runs,Edinburgh,"Jul 27, 2022",T20I # 1692,New Zealand,Bowling,Scotland (United Kingdom)
England,South Africa,England,41 runs,Bristol,"Jul 27, 2022",T20I # 1693,England,Balanced,England (United Kingdom)
Bulgaria,Luxembourg,Luxembourg,21 runs,Kerava,"Jul 28, 2022",T20I # 1694,Luxembourg,Balanced,Finland
Norway,Switzerland,Norway,12 runs,Vantaa,"Jul 28, 2022",T20I # 1695,Norway,Balanced,Finland
Czech Rep.,Estonia,Czech Rep.,42 runs,Vantaa,"Jul 28, 2022",T20I # 1696,Czech Rep.,Balanced,Finland
Guernsey,Slovenia,Guernsey,9 wickets,Kerava,"Jul 28, 2022",T20I # 1697,Slovenia,Balanced,Finland
England,South Africa,South Africa,58 runs,Cardiff,"Jul 28, 2022",T20I # 1698,South Africa,Balanced,Wales (United Kingdom)
Eswatini,Mozambique,Mozambique,8 wickets,Malkerns,"Jul 29, 2022",T20I # 1699,Eswatini,Balanced,Eswatini
Eswatini,Mozambique,Mozambique,7 wickets,Malkerns,"Jul 29, 2022",T20I # 1700,Eswatini,Balanced,Eswatini
Scotland,New Zealand,New Zealand,102 runs,Edinburgh,"Jul 29, 2022",T20I # 1701,New Zealand,Bowling,Scotland (United Kingdom)
West Indies,India,India,68 runs,Tarouba,"Jul 29, 2022",T20I # 1702,India,Balanced,Trinidad and Tobago
Eswatini,Mozambique,Mozambique,8 wickets,Malkerns,"Jul 30, 2022",T20I # 1703,Eswatini,Balanced,Eswatini
Austria,Bulgaria,Austria,158 runs,Vantaa,"Jul 30, 2022",T20I # 1704,Austria,Balanced,Finland
Czech Rep.,Switzerland,Czech Rep.,7 wickets,Kerava,"Jul 30, 2022",T20I # 1705,Switzerland,Balanced,Finland
Zimbabwe,Bangladesh,Zimbabwe,17 runs,Harare,"Jul 30, 2022",T20I # 1706,Zimbabwe,Balanced,Zimbabwe
Eswatini,Mozambique,Mozambique,95 runs,Malkerns,"Jul 30, 2022",T20I # 1707,Mozambique,Balanced,Eswatini
Luxembourg,Slovenia,Luxembourg,5 runs,Vantaa,"Jul 30, 2022",T20I # 1708,Luxembourg,Balanced,Finland
Estonia,France,France,25 runs,Kerava,"Jul 30, 2022",T20I # 1709,France,Balanced,Finland
Eswatini,Mozambique,Mozambique,94 runs,Malkerns,"Jul 31, 2022",T20I # 1710,Mozambique,Balanced,Eswatini
Bulgaria,Czech Rep.,Czech Rep.,4 wickets,Vantaa,"Jul 31, 2022",T20I # 1711,Bulgaria,Balanced,Finland
France,Guernsey,Guernsey,56 runs,Kerava,"Jul 31, 2022",T20I # 1712,Guernsey,Balanced,Finland
Zimbabwe,Bangladesh,Bangladesh,7 wickets,Harare,"Jul 31, 2022",T20I # 1713,Zimbabwe,Balanced,Zimbabwe
Eswatini,Mozambique,Mozambique,43 runs,Malkerns,"Jul 31, 2022",T20I # 1714,Mozambique,Balanced,Eswatini
Austria,Norway,Austria,9 wickets,Kerava,"Jul 31, 2022",T20I # 1715,Norway,Balanced,Finland
Luxembourg,Switzerland,Luxembourg,7 runs,Vantaa,"Jul 31, 2022",T20I # 1716,Luxembourg,Balanced,Finland
England,South Africa,South Africa,90 runs,Southampton,"Jul 31, 2022",T20I # 1717,South Africa,Balanced,England (United Kingdom)
West Indies,India,West Indies,5 wickets,Basseterre,"Aug 1, 2022",T20I # 1718,India,Batting,Saint Kitts and Nevis
Zimbabwe,Bangladesh,Zimbabwe,10 runs,Harare,"Aug 2, 2022",T20I # 1719,Zimbabwe,Balanced,Zimbabwe
West Indies,India,India,7 wickets,Basseterre,"Aug 2, 2022",T20I # 1720,West Indies,Batting,Saint Kitts and Nevis
Ireland,South Africa,South Africa,21 runs,Bristol,"Aug 3, 2022",T20I # 1721,South Africa,Balanced,England (United Kingdom)
Netherlands,New Zealand,New Zealand,16 runs,The Hague,"Aug 4, 2022",T20I # 1722,New Zealand,Balanced,Netherlands
Netherlands,New Zealand,New Zealand,8 wickets,The Hague,"Aug 5, 2022",T20I # 1723,Netherlands,Balanced,Netherlands
Ireland,South Africa,South Africa,44 runs,Bristol,"Aug 5, 2022",T20I # 1724,South Africa,Balanced,England (United Kingdom)
India,West Indies,India,59 runs,Lauderhill,"Aug 6, 2022",T20I # 1725,India,Batting,United States (Florida)
India,West Indies,India,88 runs,Lauderhill,"Aug 7, 2022",T20I # 1726,India,Batting,United States (Florida)
Ireland,Afghanistan,Ireland,7 wickets,Belfast,"Aug 9, 2022",T20I # 1727,Afghanistan,Balanced,Northern Ireland (United Kingdom)
West Indies,New Zealand,New Zealand,13 runs,Kingston,"Aug 10, 2022",T20I # 1728,New Zealand,Batting,Jamaica
Ireland,Afghanistan,Ireland,5 wickets,Belfast,"Aug 11, 2022",T20I # 1729,Afghanistan,Balanced,Northern Ireland (United Kingdom)
Bahrain,Kuwait,0,-,Al Amerat,"Aug 11, 2022",T20I # 1730,Bahrain,Balanced,Oman
Ireland,Afghanistan,Afghanistan,22 runs,Belfast,"Aug 12, 2022",T20I # 1731,Afghanistan,Balanced,Northern Ireland (United Kingdom)
West Indies,New Zealand,New Zealand,90 runs,Kingston,"Aug 12, 2022",T20I # 1732,New Zealand,Batting,Jamaica
Bahrain,Kuwait,Kuwait,20 runs,Al Amerat,"Aug 13, 2022",T20I # 1733,Kuwait,Balanced,Oman
Bahrain,Kuwait,Kuwait,5 wickets,Al Amerat,"Aug 14, 2022",T20I # 1734,Bahrain,Balanced,Oman
West Indies,New Zealand,West Indies,8 wickets,Kingston,"Aug 14, 2022",T20I # 1735,New Zealand,Batting,Jamaica
Ireland,Afghanistan,Afghanistan,27 runs,Belfast,"Aug 15, 2022",T20I # 1736,Afghanistan,Balanced,Northern Ireland (United Kingdom)
Bahrain,Kuwait,Kuwait,4 wickets,Al Amerat,"Aug 16, 2022",T20I # 1737,Bahrain,Balanced,Oman
Ireland,Afghanistan,Ireland,7 wickets,Belfast,"Aug 17, 2022",T20I # 1738,Afghanistan,Balanced,Northern Ireland (United Kingdom)
Bahrain,Kuwait,Kuwait,102 runs,Al Amerat,"Aug 17, 2022",T20I # 1739,Kuwait,Balanced,Oman
Hong Kong,Singapore,Hong Kong,8 runs,Al Amerat,"Aug 20, 2022",T20I # 1740,Hong Kong,Balanced,Oman
Kuwait,U.A.E.,Kuwait,1 wickets,Al Amerat,"Aug 21, 2022",T20I # 1741,U.A.E.,Balanced,Oman
Singapore,U.A.E.,U.A.E.,47 runs,Al Amerat,"Aug 22, 2022",T20I # 1742,U.A.E.,Balanced,Oman
Hong Kong,Kuwait,Hong Kong,8 wickets,Al Amerat,"Aug 23, 2022",T20I # 1743,Kuwait,Balanced,Oman
Kuwait,Singapore,Kuwait,6 wickets,Al Amerat,"Aug 24, 2022",T20I # 1744,Singapore,Balanced,Oman
Hong Kong,U.A.E.,Hong Kong,8 wickets,Al Amerat,"Aug 24, 2022",T20I # 1745,U.A.E.,Balanced,Oman
Kenya,Nepal,Nepal,5 wickets,Nairobi (Gym),"Aug 25, 2022",T20I # 1746,Kenya,Balanced,Kenya
Kenya,Nepal,Kenya,18 runs,Nairobi (Gym),"Aug 26, 2022",T20I # 1747,Kenya,Balanced,Kenya
Afghanistan,Sri Lanka,Afghanistan,8 wickets,Dubai (DSC),"Aug 27, 2022",T20I # 1748,Sri Lanka,Balanced,United Arab Emirates (UAE)
Kenya,Nepal,Nepal,4 wickets,Nairobi (Gym),"Aug 28, 2022",T20I # 1749,Kenya,Balanced,Kenya
India,Pakistan,India,5 wickets,Dubai (DSC),"Aug 28, 2022",T20I # 1750,Pakistan,Balanced,United Arab Emirates (UAE)
Kenya,Nepal,Kenya,7 runs,Nairobi (Gym),"Aug 29, 2022",T20I # 1751,Kenya,Balanced,Kenya
Kenya,Nepal,Nepal,31 runs,Nairobi (Gym),"Aug 30, 2022",T20I # 1752,Nepal,Balanced,Kenya
Afghanistan,Bangladesh,Afghanistan,7 wickets,Sharjah,"Aug 30, 2022",T20I # 1753,Bangladesh,Batting,United Arab Emirates (UAE)
Hong Kong,India,India,40 runs,Dubai (DSC),"Aug 31, 2022",T20I # 1754,India,Balanced,United Arab Emirates (UAE)
Bangladesh,Sri Lanka,Sri Lanka,2 wickets,Dubai (DSC),"Sep 1, 2022",T20I # 1755,Bangladesh,Balanced,United Arab Emirates (UAE)
Hong Kong,Pakistan,Pakistan,155 runs,Sharjah,"Sep 2, 2022",T20I # 1756,Pakistan,Batting,United Arab Emirates (UAE)
Afghanistan,Sri Lanka,Sri Lanka,4 wickets,Sharjah,"Sep 3, 2022",T20I # 1757,Afghanistan,Batting,United Arab Emirates (UAE)
India,Pakistan,Pakistan,5 wickets,Dubai (DSC),"Sep 4, 2022",T20I # 1758,India,Balanced,United Arab Emirates (UAE)
India,Sri Lanka,Sri Lanka,6 wickets,Dubai (DSC),"Sep 6, 2022",T20I # 1759,India,Balanced,United Arab Emirates (UAE)
Afghanistan,Pakistan,Pakistan,1 wickets,Sharjah,"Sep 7, 2022",T20I # 1760,Afghanistan,Batting,United Arab Emirates (UAE)
Afghanistan,India,India,101 runs,Dubai (DSC),"Sep 8, 2022",T20I # 1761,India,Balanced,United Arab Emirates (UAE)
Vanuatu,Fiji,Vanuatu,56 runs,Port vila,"Sep 9, 2022",T20I # 1762,Vanuatu,Balanced,Vanuatu
Cook Islands,Samoa,Samoa,7 wickets,Port vila,"Sep 9, 2022",T20I # 1763,Cook Islands,Balanced,Vanuatu
Pakistan,Sri Lanka,Sri Lanka,5 wickets,Dubai (DSC),"Sep 9, 2022",T20I # 1764,Pakistan,Balanced,United Arab Emirates (UAE)
Cook Islands,Fiji,Fiji,3 wickets,Port vila,"Sep 10, 2022",T20I # 1765,Cook Islands,Balanced,Vanuatu
Vanuatu,Samoa,Vanuatu,9 wickets,Port vila,"Sep 10, 2022",T20I # 1766,Samoa,Balanced,Vanuatu
Vanuatu,Cook Islands,Cook Islands,5 wickets,Port vila,"Sep 11, 2022",T20I # 1767,Vanuatu,Balanced,Vanuatu
Fiji,Samoa,Fiji,3 wickets,Port vila,"Sep 11, 2022",T20I # 1768,Samoa,Balanced,Vanuatu
Pakistan,Sri Lanka,Sri Lanka,23 runs,Dubai (DSC),"Sep 11, 2022",T20I # 1769,Sri Lanka,Balanced,United Arab Emirates (UAE)
Cook Islands,Samoa,Cook Islands,4 wickets,Port vila,"Sep 13, 2022",T20I # 1770,Samoa,Balanced,Vanuatu
Vanuatu,Fiji,Vanuatu,18 runs,Port vila,"Sep 13, 2022",T20I # 1771,Vanuatu,Balanced,Vanuatu
Vanuatu,Samoa,Vanuatu,6 wickets,Port vila,"Sep 14, 2022",T20I # 1772,Samoa,Balanced,Vanuatu
Cook Islands,Fiji,Cook Islands,8 wickets,Port vila,"Sep 14, 2022",T20I # 1773,Fiji,Balanced,Vanuatu
Fiji,Samoa,Fiji,30 runs,Port vila,"Sep 15, 2022",T20I # 1774,Fiji,Balanced,Vanuatu
Vanuatu,Cook Islands,Vanuatu,50 runs,Port vila,"Sep 15, 2022",T20I # 1775,Vanuatu,Balanced,Vanuatu
